epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6779,1.13932,2.38126,1.37262,0.73743,0.23153,0.28,0.15743,1.32576,2.71352,1.65288,0.000330357,0.000330357,0.000330357
2,80.6695,1.1034,1.6408,1.33116,0.43893,0.23953,0.2348,0.12009,1.56737,2.74525,1.90608,0.000641789,0.000641789,0.000641789
3,121.156,1.07939,1.51901,1.30726,0.27151,0.28883,0.26339,0.14179,1.51836,2.75643,1.79524,0.00093122,0.00093122,0.00093122
4,162.197,1.08268,1.43559,1.31043,0.25789,0.31288,0.25345,0.15455,1.4087,2.93137,1.68028,0.000901,0.000901,0.000901
5,199.586,1.0499,1.37065,1.29628,0.4486,0.37643,0.31184,0.15546,1.57619,3.1594,1.84038,0.000868,0.000868,0.000868
6,238.523,1.04365,1.29595,1.28322,0.65302,0.30739,0.3336,0.16454,1.46673,3.35188,1.79968,0.000835,0.000835,0.000835
7,277.71,0.99419,1.20085,1.25931,0.37571,0.36737,0.35088,0.20979,1.40994,2.06511,1.70788,0.000802,0.000802,0.000802
8,317.247,0.98549,1.17829,1.24635,0.52691,0.38738,0.40324,0.21367,1.36367,2.81404,1.64335,0.000769,0.000769,0.000769
9,356.149,0.96758,1.14555,1.23509,0.35044,0.36109,0.33655,0.20686,1.39139,2.31247,1.66463,0.000736,0.000736,0.000736
10,394.724,0.93503,1.09737,1.21515,0.55862,0.36989,0.377,0.21846,1.32766,2.61296,1.63614,0.000703,0.000703,0.000703
11,434.029,0.93673,1.07882,1.2147,0.43909,0.3793,0.37414,0.23425,1.27872,2.6759,1.57728,0.00067,0.00067,0.00067
12,471.977,0.92996,1.0559,1.21325,0.37936,0.38375,0.397,0.2682,1.31427,2.81572,1.61227,0.000637,0.000637,0.000637
13,512.608,0.89089,0.97709,1.18722,0.47356,0.34609,0.40099,0.23153,1.34005,2.3977,1.66731,0.000604,0.000604,0.000604
14,552.4,0.90873,0.9901,1.1955,0.64495,0.30629,0.40328,0.25023,1.28173,2.26683,1.58185,0.000571,0.000571,0.000571
15,592.51,0.88423,0.96875,1.18364,0.46052,0.42555,0.39048,0.23886,1.25632,2.5253,1.56425,0.000538,0.000538,0.000538
16,634.714,0.85722,0.93115,1.16911,0.5899,0.3974,0.47647,0.28477,1.32093,2.14392,1.60141,0.000505,0.000505,0.000505
17,673.843,0.8548,0.92966,1.17608,0.5647,0.42791,0.476,0.30025,1.29988,2.2246,1.58735,0.000472,0.000472,0.000472
18,714.155,0.84287,0.89771,1.15714,0.36028,0.47449,0.48617,0.27282,1.39928,2.38609,1.68939,0.000439,0.000439,0.000439
19,753.92,0.82663,0.86549,1.15154,0.46637,0.40068,0.49152,0.31207,1.28116,2.27775,1.58002,0.000406,0.000406,0.000406
20,793.135,0.81233,0.85789,1.1479,0.69548,0.4188,0.49608,0.30913,1.21013,2.22578,1.54864,0.000373,0.000373,0.000373
21,833.985,0.75715,0.80168,1.11098,0.59521,0.4261,0.47675,0.30548,1.19131,2.20159,1.52375,0.00034,0.00034,0.00034
22,872.769,0.7355,0.74385,1.11046,0.5769,0.41753,0.45887,0.27844,1.23142,2.64201,1.56948,0.000307,0.000307,0.000307
23,911.062,0.71302,0.71122,1.08598,0.70962,0.41837,0.4833,0.29815,1.20145,2.44027,1.54066,0.000274,0.000274,0.000274
24,947.718,0.71543,0.69537,1.0884,0.71052,0.46054,0.55852,0.3465,1.21664,2.16121,1.54945,0.000241,0.000241,0.000241
25,987.116,0.69861,0.66942,1.08554,0.53234,0.52599,0.51887,0.32462,1.13323,2.28823,1.46184,0.000208,0.000208,0.000208
26,1025.17,0.68829,0.65612,1.0727,0.60109,0.43557,0.54139,0.33692,1.16568,2.40059,1.51725,0.000175,0.000175,0.000175
27,1062.73,0.68152,0.63941,1.0726,0.62513,0.49379,0.56225,0.36364,1.14813,2.27631,1.48813,0.000142,0.000142,0.000142
28,1101.03,0.67002,0.61961,1.06808,0.58362,0.48595,0.57841,0.38642,1.1423,2.32063,1.49449,0.000109,0.000109,0.000109
29,1139.15,0.65288,0.60604,1.06645,0.55067,0.4804,0.52167,0.33602,1.14137,2.32154,1.48919,7.6e-05,7.6e-05,7.6e-05
30,1174.91,0.65212,0.59571,1.05626,0.59888,0.48624,0.55686,0.37247,1.14669,2.23778,1.49994,4.3e-05,4.3e-05,4.3e-05
